playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
orsinjo01,1965,1,BAL,AL,77,232,30,54,10,2,9,28,1,0,23,51,2,5,1,2,15
pagliji01,1965,1,PIT,NL,134,403,42,108,15,0,17,65,0,0,41,84,11,3,1,4,13
parkewe01,1965,1,LAN,NL,154,542,80,129,24,7,8,51,13,7,75,95,1,5,19,3,6
pearsal02,1965,1,CAL,AL,122,360,41,100,17,2,4,21,12,1,51,17,0,2,8,0,6
pepitjo01,1965,1,NYA,AL,143,531,51,131,18,3,18,62,4,2,43,59,11,2,3,1,12
perezto01,1965,1,CIN,NL,104,281,40,73,14,4,12,47,0,2,21,67,5,2,2,1,10
petrori01,1965,1,BOS,AL,103,323,38,75,15,2,13,33,0,2,36,71,4,1,1,2,6
pinsova01,1965,1,CIN,NL,159,669,97,204,34,10,22,94,21,8,43,81,3,7,6,3,14
powelbo01,1965,1,BAL,AL,144,472,54,117,20,2,17,72,1,1,71,93,13,4,3,6,7
repozro01,1965,1,NYA,AL,79,218,34,48,7,4,12,28,1,1,25,57,4,0,0,2,2
reynoto01,1965,1,KC1,AL,90,270,34,64,11,3,1,22,9,2,36,41,1,0,2,0,10
richabo01,1965,1,NYA,AL,160,664,76,164,28,2,6,47,7,5,37,39,4,1,9,2,11
robinbr01,1965,1,BAL,AL,144,559,81,166,25,2,18,80,3,0,47,47,9,2,4,4,15
robinfl01,1965,1,CHA,AL,156,577,70,153,15,6,14,66,4,1,76,51,6,5,6,7,10
robinfr02,1965,1,CIN,NL,156,582,109,172,33,5,33,113,13,9,70,100,18,18,0,4,14
rodgebu01,1965,1,CAL,AL,132,411,33,86,14,3,1,32,4,5,35,61,9,3,4,8,15
rojasco01,1965,1,PHI,NL,142,521,78,158,25,3,3,42,5,5,42,33,3,3,8,4,9
rolliri01,1965,1,MIN,AL,140,469,59,117,22,1,5,32,4,0,37,54,7,4,10,2,13
romanjo01,1965,1,CHA,AL,122,356,39,86,11,0,18,48,0,2,59,74,3,5,2,3,13
rosebjo01,1965,1,LAN,NL,136,437,42,102,10,0,8,57,1,6,34,51,7,2,3,4,5
rosepe01,1965,1,CIN,NL,162,670,117,209,35,11,11,81,8,3,69,76,2,8,8,2,10
santoro01,1965,1,CHN,NL,164,608,88,173,30,4,33,101,3,1,88,109,7,5,0,3,12
schaapa01,1965,1,CAL,AL,155,483,48,108,12,2,9,45,6,3,61,88,8,1,7,4,8
schofdi01,1965,2,SFN,NL,101,379,39,77,10,1,2,19,2,4,33,50,0,3,5,1,7
shannmi01,1965,1,SLN,NL,124,244,32,54,17,3,3,25,2,1,28,46,1,2,5,1,8
siebeno01,1965,1,BAL,AL,106,297,44,76,13,4,8,32,1,2,50,49,7,1,2,3,2
skowrbi01,1965,1,CHA,AL,146,559,63,153,24,3,18,78,1,3,32,77,4,5,4,5,22
smithch04,1965,1,NYN,NL,135,499,49,122,20,3,16,62,2,1,17,123,3,4,7,4,13
smithwi02,1965,1,CAL,AL,136,459,52,120,14,9,14,57,9,8,32,60,10,1,1,5,5
snyderu01,1965,1,BAL,AL,132,345,49,93,11,2,1,29,3,4,27,38,1,1,6,2,5
stargwi01,1965,1,PIT,NL,144,533,68,145,25,8,27,107,1,1,39,127,13,7,0,3,8
staubru01,1965,1,HOU,NL,131,410,43,105,20,1,14,63,3,0,52,57,5,2,1,5,17
stewaji01,1965,1,CHN,NL,116,282,26,63,9,4,0,19,13,3,30,53,1,2,1,2,3
stuardi01,1965,1,PHI,NL,149,538,53,126,19,1,28,95,1,0,39,136,8,3,0,6,10
swoboro01,1965,1,NYN,NL,135,399,52,91,15,3,19,50,2,3,33,102,3,3,1,2,10
tartajo01,1965,1,KC1,AL,68,218,28,68,11,4,1,19,11,5,18,20,0,0,4,2,4
tayloto02,1965,1,PHI,NL,106,323,41,74,14,3,3,27,5,4,22,58,0,12,5,1,6
thomale03,1965,1,BOS,AL,151,521,74,141,27,4,22,75,6,2,72,42,8,3,5,2,16
tillmbo01,1965,1,BOS,AL,111,368,20,79,10,3,6,35,0,0,40,69,3,0,0,5,13
torrejo01,1965,1,ML1,NL,148,523,68,152,21,1,27,80,0,1,61,79,7,8,0,2,22
treshto01,1965,1,NYA,AL,156,602,94,168,29,6,26,74,5,2,59,92,4,5,2,0,10
valdesa01,1965,1,MIN,AL,108,245,38,64,8,2,1,22,7,4,20,28,3,2,3,3,5
versazo01,1965,1,MIN,AL,160,666,126,182,45,12,19,77,27,5,41,122,3,7,6,8,7
virdobi01,1965,1,PIT,NL,135,481,58,134,22,5,4,24,4,3,30,49,0,1,7,0,6
wagnele01,1965,1,CLE,AL,144,517,91,152,18,1,28,79,12,2,60,52,8,3,0,3,6
wardpe01,1965,1,CHA,AL,138,507,62,125,25,3,10,57,2,4,56,83,11,6,2,3,10
wertdo01,1965,1,DET,AL,162,609,81,159,22,2,12,54,5,6,73,71,4,3,8,4,15
whitebi03,1965,1,SLN,NL,148,543,82,157,26,3,24,73,3,3,63,86,11,4,3,5,7
whitffr01,1965,1,CLE,AL,132,468,49,137,23,1,26,90,2,2,16,42,7,2,2,4,12
willibi01,1965,1,CHN,NL,164,645,115,203,39,6,34,108,10,1,65,76,7,3,1,5,20
willsma01,1965,1,LAN,NL,158,650,92,186,14,7,0,33,94,31,40,64,2,4,14,2,6
winebo01,1965,1,PHI,NL,139,394,31,90,8,1,5,33,0,0,31,69,9,0,4,1,16
woodwwo01,1965,1,ML1,NL,112,265,17,55,7,4,0,11,2,2,10,50,3,0,3,2,3
wynnji01,1965,1,HOU,NL,157,564,90,155,30,7,22,73,43,4,84,126,3,5,5,5,12
yastrca01,1965,1,BOS,AL,133,494,78,154,45,3,20,72,7,6,70,58,8,1,2,4,16
zimmedo01,1965,1,WS2,AL,95,226,20,45,6,0,2,17,2,0,26,59,1,2,1,3,7
aaronha01,1966,1,ATL,NL,158,603,117,168,23,1,44,127,21,3,76,96,15,1,0,8,14
adairje01,1966,2,CHA,AL,105,370,27,90,18,2,4,36,3,2,17,44,0,1,9,5,14
adcocjo01,1966,1,CAL,AL,83,231,33,63,10,3,18,48,2,2,31,48,6,0,0,3,11
ageeto01,1966,1,CHA,AL,160,629,98,172,27,8,22,86,44,18,41,127,3,10,5,4,17
allenbe01,1966,1,MIN,AL,101,319,34,76,18,1,5,30,2,3,26,40,5,2,2,1,10
allendi01,1966,1,PHI,NL,141,524,112,166,25,10,40,110,10,6,68,136,13,3,0,4,9
alleyge01,1966,1,PIT,NL,147,579,88,173,28,10,7,43,8,8,27,83,0,5,20,3,8
aloufe01,1966,1,ATL,NL,154,666,122,218,32,6,31,74,5,7,24,51,6,12,2,2,11
alouje01,1966,1,SFN,NL,110,370,41,96,13,1,1,20,5,5,9,22,1,2,4,2,14
alouma01,1966,1,PIT,NL,141,535,86,183,18,9,2,27,23,15,24,44,4,4,12,3,3
alvisma01,1966,1,CLE,AL,157,596,67,146,22,3,17,55,4,7,50,98,6,2,3,4,12
aparilu01,1966,1,BAL,AL,151,659,97,182,25,8,6,41,25,11,33,42,2,1,12,2,10
asprobo01,1966,1,HOU,NL,152,560,55,141,16,3,8,52,0,4,35,63,7,2,3,3,22
azcuejo01,1966,1,CLE,AL,98,302,22,83,10,1,9,37,0,2,20,22,5,2,1,5,6
bailebo01,1966,1,PIT,NL,126,380,51,106,19,3,13,46,5,3,47,65,4,2,2,2,12
bankser01,1966,1,CHN,NL,141,511,52,139,23,7,15,75,0,1,29,59,10,5,4,5,15
batemjo01,1966,1,HOU,NL,131,433,39,121,24,3,17,70,0,0,20,74,9,5,4,6,17
batteea01,1966,1,MIN,AL,115,364,30,93,12,1,4,34,4,1,43,30,7,3,0,2,15
beckegl01,1966,1,CHN,NL,153,656,73,188,23,7,1,59,10,4,26,36,0,4,5,2,8
berryke01,1966,1,CHA,AL,147,443,50,120,20,2,8,34,7,10,28,63,4,2,11,2,6
blairpa01,1966,1,BAL,AL,133,303,35,84,20,2,6,33,5,6,15,36,0,0,5,2,4
blasido01,1966,1,WS2,AL,68,200,18,43,9,0,1,11,2,1,18,21,0,0,4,0,0
blefacu01,1966,1,BAL,AL,131,419,73,107,14,3,23,64,1,4,73,56,3,6,7,3,6
boccajo01,1966,1,CHN,NL,75,206,22,47,9,0,6,25,0,1,14,39,1,0,6,3,7
bollifr01,1966,1,ATL,NL,75,227,16,48,7,0,1,18,1,1,10,14,3,1,3,4,3
bowensa01,1966,1,BAL,AL,89,243,26,51,9,1,6,20,9,3,17,52,2,5,4,0,8
boyercl02,1966,1,NYA,AL,144,500,59,120,22,4,14,57,6,0,46,48,4,2,4,6,9
boyerke01,1966,1,NYN,NL,136,496,62,132,28,2,14,61,4,3,30,64,5,0,1,7,15
bressed01,1966,1,NYN,NL,133,405,48,91,15,5,10,49,2,2,47,107,4,1,7,4,11
briggjo02,1966,1,PHI,NL,81,255,43,72,13,5,10,23,3,2,41,55,3,0,0,1,2
brinked01,1966,1,WS2,AL,158,582,42,133,18,9,7,48,7,9,29,105,4,0,9,5,17
brocklo01,1966,1,SLN,NL,156,643,94,183,24,12,15,46,74,18,31,134,6,3,0,1,7
brownby01,1966,1,CHN,NL,120,419,46,102,15,7,16,51,3,3,40,143,1,5,1,1,7
brownla01,1966,1,CLE,AL,105,340,29,78,12,0,3,17,0,1,36,58,3,3,5,0,11
brownol02,1966,1,SFN,NL,115,348,32,81,7,1,7,33,2,5,33,66,7,2,3,0,14
bucheje01,1966,1,SLN,NL,100,284,23,67,10,4,4,25,0,5,23,71,4,0,1,5,9
bufordo01,1966,1,CHA,AL,163,607,85,148,26,7,8,52,51,22,69,71,3,3,17,2,3
callijo01,1966,1,PHI,NL,155,612,93,169,40,7,11,55,8,8,56,83,4,3,2,4,11
campabe01,1966,1,KC1,AL,142,573,82,153,29,10,5,42,52,10,25,72,1,5,1,2,6
cardejo02,1966,1,CAL,AL,154,561,67,155,15,3,16,48,24,11,34,69,5,4,3,4,6
cardele01,1966,1,CIN,NL,160,568,59,145,25,4,20,81,9,4,45,87,18,1,6,4,19
cartyri01,1966,1,ATL,NL,151,521,73,170,25,2,15,76,4,6,60,74,7,0,0,7,15
casanpa01,1966,1,WS2,AL,122,429,45,109,16,5,13,44,1,2,14,78,2,1,3,2,8
cashno01,1966,1,DET,AL,160,603,98,168,18,3,32,93,2,1,66,91,4,4,1,5,15
caterda01,1966,2,KC1,AL,116,425,47,124,16,3,7,52,1,4,28,37,2,1,1,4,11
cepedor01,1966,2,SLN,NL,123,452,65,137,24,0,17,58,9,8,34,68,10,13,1,9,12
charled01,1966,1,KC1,AL,118,385,52,110,18,8,9,42,12,5,30,53,2,0,4,1,9
clarkho01,1966,1,NYA,AL,96,312,37,83,10,4,6,28,5,3,27,24,4,1,1,3,2
clemero01,1966,1,PIT,NL,154,638,105,202,31,11,29,119,7,5,46,109,13,0,1,5,14
clenddo01,1966,1,PIT,NL,155,571,80,171,22,10,28,98,8,7,52,142,7,2,1,3,14
colavro01,1966,1,CLE,AL,151,533,68,127,13,0,30,72,2,1,76,81,4,3,0,2,25
colemgo01,1966,1,CIN,NL,91,227,20,57,7,0,5,37,2,1,16,45,2,0,2,1,3
conigto01,1966,1,BOS,AL,150,558,77,148,26,7,28,93,0,2,52,112,8,5,6,7,6
dalrycl01,1966,1,PHI,NL,114,331,30,81,13,3,4,39,0,0,60,57,10,3,9,1,3
davalvi01,1966,1,CLE,AL,121,344,42,86,6,4,3,19,8,6,24,37,6,0,1,2,6
davenji01,1966,1,SFN,NL,111,305,42,76,6,2,9,30,1,1,22,40,2,1,6,2,8
davisto02,1966,1,LAN,NL,100,313,27,98,11,1,3,27,3,3,16,36,4,0,0,1,11
daviswi02,1966,1,LAN,NL,153,624,74,177,31,6,11,61,21,10,15,68,2,4,5,5,4
demetdo01,1966,2,BOS,AL,73,226,31,66,13,1,9,29,1,0,5,42,1,1,2,4,3
edwarjo01,1966,1,CIN,NL,98,282,24,54,8,0,6,39,1,3,31,42,8,0,3,3,6
etchean01,1966,1,BAL,AL,121,412,49,91,14,6,11,50,0,1,38,106,12,5,0,3,12
fairlro01,1966,1,LAN,NL,117,351,53,101,20,0,14,61,3,2,52,38,4,2,1,3,9
floodcu01,1966,1,SLN,NL,160,626,64,167,21,5,10,78,14,7,26,50,0,4,7,4,11
foyjo01,1966,1,BOS,AL,151,554,97,145,23,8,15,63,2,5,91,80,2,2,5,6,14
freehbi01,1966,1,DET,AL,136,492,47,115,22,0,12,46,5,2,40,72,9,3,7,2,11
fregoji01,1966,1,CAL,AL,162,611,78,154,32,7,13,67,17,8,67,89,1,2,10,6,12
fuentti01,1966,1,SFN,NL,133,541,63,141,21,3,9,40,6,3,9,57,1,3,10,1,6
gabrile02,1966,1,SFN,NL,94,240,27,52,7,0,4,16,0,1,21,51,3,0,4,2,2
gagliph01,1966,1,SLN,NL,90,213,23,54,8,2,2,15,2,1,24,29,1,1,2,2,6
gilliji01,1966,1,LAN,NL,88,235,30,51,9,0,1,16,2,1,34,17,3,0,3,1,5
gonzape01,1966,1,CLE,AL,110,352,21,82,9,2,2,17,8,5,15,54,1,2,4,1,5
gonzato01,1966,1,PHI,NL,132,384,53,110,20,4,6,40,2,6,26,60,1,3,1,2,5
gosgeji01,1966,2,KC1,AL,88,272,34,61,14,1,5,27,5,3,37,53,1,2,3,1,2
greendi01,1966,1,KC1,AL,140,507,58,127,24,3,9,62,6,1,27,101,4,7,4,2,11
groatdi01,1966,1,PHI,NL,155,584,58,152,21,4,2,53,2,1,40,38,6,5,7,4,20
groteje01,1966,1,NYN,NL,120,317,26,75,12,2,3,31,4,3,40,81,8,3,3,1,9
halleto01,1966,1,SFN,NL,142,471,74,113,19,2,27,67,1,3,53,74,11,6,3,3,10
hallji02,1966,1,MIN,AL,120,356,52,85,7,4,20,47,1,2,33,66,5,0,0,2,14
harpeto01,1966,1,CIN,NL,149,553,85,154,22,5,5,31,29,10,57,85,4,3,6,2,7
harreke01,1966,1,KC1,AL,63,210,24,47,5,0,5,22,9,2,27,59,3,0,1,0,3
harreke01,1966,2,WS2,AL,71,250,25,62,8,1,7,28,4,1,26,53,2,1,4,0,8
harrich02,1966,1,HOU,NL,119,434,52,111,23,2,9,52,2,0,37,69,4,2,3,1,12
hartji01,1966,1,SFN,NL,156,578,88,165,23,4,33,93,2,5,48,75,6,4,2,4,23
helmsto01,1966,1,CIN,NL,138,542,72,154,23,1,9,49,3,4,24,31,2,2,7,3,16
hershmi01,1966,1,KC1,AL,146,538,55,136,27,7,2,57,13,5,47,37,3,3,4,7,14
hillech01,1966,1,NYN,NL,108,254,25,71,8,2,2,14,0,0,15,22,0,5,1,0,2
hintoch01,1966,1,CLE,AL,123,348,46,89,9,3,12,50,10,6,35,66,2,1,2,3,7
hortowi01,1966,1,DET,AL,146,526,72,138,22,6,27,100,1,1,44,103,4,3,2,3,11
howarel01,1966,1,NYA,AL,126,410,38,105,19,2,6,35,0,0,37,65,9,1,0,3,12
howarfr01,1966,1,WS2,AL,146,493,52,137,19,4,18,71,1,1,53,104,6,1,0,2,14
hundlra01,1966,1,CHN,NL,149,526,50,124,22,3,19,63,1,3,35,113,3,3,10,5,11
huntro01,1966,1,NYN,NL,132,479,63,138,19,2,3,33,8,10,41,34,2,11,10,2,10
jacksso01,1966,1,HOU,NL,150,596,80,174,6,5,3,25,49,14,42,53,0,3,27,2,9
javieju01,1966,1,SLN,NL,147,460,52,105,13,5,7,31,11,5,26,63,2,1,5,4,7
johnsda02,1966,1,BAL,AL,131,501,47,129,20,3,7,56,3,4,31,64,3,1,1,7,8
johnsde01,1966,1,CIN,NL,142,505,75,130,25,3,24,81,1,2,39,87,5,2,1,7,13
johnsja01,1966,1,CAL,AL,61,254,35,67,12,4,3,17,3,3,11,36,1,1,2,0,3
johnslo01,1966,1,LAN,NL,152,526,71,143,20,2,17,73,8,10,21,75,4,14,9,2,16
jonescl01,1966,1,NYN,NL,139,495,74,136,16,4,8,57,16,8,30,62,2,3,5,4,13
jonesda03,1966,1,BOS,AL,115,252,26,59,11,5,4,23,1,2,22,27,4,3,0,0,5
jonesma01,1966,1,ATL,NL,118,417,60,110,14,1,23,66,16,10,39,85,4,8,2,4,7
kalinal01,1966,1,DET,AL,142,479,85,138,29,1,29,88,5,5,81,66,7,5,1,6,7
kennejo03,1966,1,LAN,NL,125,274,15,55,9,2,3,24,1,2,10,64,1,5,4,1,5
kessido01,1966,1,CHN,NL,150,533,50,146,8,2,1,43,13,7,26,46,5,0,15,4,11
killeha01,1966,1,MIN,AL,162,569,89,160,27,1,39,110,0,2,103,98,18,2,0,3,12
kingji01,1966,1,WS2,AL,117,310,41,77,14,2,10,30,4,0,38,41,2,0,1,1,10
kirkped01,1966,1,CAL,AL,117,312,31,60,7,4,9,44,7,4,51,67,8,5,6,3,4
knoopbo01,1966,1,CAL,AL,161,590,54,137,18,11,17,72,1,5,43,144,8,1,9,7,14
kraneed01,1966,1,NYN,NL,146,464,51,118,15,2,16,57,1,1,41,66,9,3,0,4,5
lanieha01,1966,1,SFN,NL,149,459,37,106,14,2,3,37,1,0,16,49,7,0,8,1,20
lefebji01,1966,1,LAN,NL,152,544,69,149,23,3,24,74,1,1,48,72,6,3,10,5,10
lockdo01,1966,1,WS2,AL,138,386,52,90,13,1,16,48,2,6,57,126,5,2,0,2,9
lumpeje01,1966,1,DET,AL,113,385,30,89,14,3,1,26,0,3,24,44,1,0,7,2,3
luploal01,1966,1,NYN,NL,111,334,31,84,9,1,7,31,2,6,38,46,3,2,2,1,10
mantlmi01,1966,1,NYA,AL,108,333,40,96,12,1,23,56,1,1,57,76,5,0,0,3,9
marisro01,1966,1,NYA,AL,119,348,37,81,9,2,13,43,0,0,36,60,3,3,0,4,8
matheed01,1966,1,ATL,NL,134,452,72,113,21,4,16,53,1,1,63,82,6,0,1,1,6
maxvida01,1966,1,SLN,NL,134,394,25,96,14,3,0,24,3,0,37,61,9,2,6,0,11
mayele01,1966,1,HOU,NL,115,358,38,103,12,4,9,36,4,3,20,26,5,0,2,3,6
mayswi01,1966,1,SFN,NL,152,552,99,159,29,4,37,103,5,1,70,81,11,2,1,4,13
mazerbi01,1966,1,PIT,NL,162,621,56,163,22,7,16,82,4,3,31,62,9,1,2,5,16
mcauldi01,1966,1,DET,AL,124,430,83,118,16,8,23,56,5,7,66,80,2,3,4,3,7
mccarti01,1966,1,SLN,NL,150,543,50,149,19,13,12,68,9,6,36,38,10,2,0,5,10
mccovwi01,1966,1,SFN,NL,150,502,85,148,26,6,36,96,2,1,76,100,10,6,0,4,8
mccrato01,1966,1,CHA,AL,151,389,49,89,16,4,5,48,20,11,29,40,7,5,10,4,5
mcmilro01,1966,1,NYN,NL,76,220,24,47,9,1,1,12,1,1,20,25,3,2,3,1,4
mcmulke01,1966,1,WS2,AL,147,524,48,122,19,4,13,54,3,1,44,89,1,0,7,6,16
menkede01,1966,1,ATL,NL,138,454,55,114,20,4,15,60,0,7,71,87,8,6,7,7,9
minchdo01,1966,1,MIN,AL,139,431,53,108,30,0,14,62,3,2,58,68,9,2,3,3,13
morgajo02,1966,1,HOU,NL,122,425,60,121,14,8,5,42,11,8,89,43,3,3,9,2,2
motama01,1966,1,PIT,NL,116,322,54,107,16,7,5,46,7,7,25,28,1,4,4,4,7
nendi01,1966,1,WS2,AL,94,235,20,50,8,0,6,30,0,2,28,46,2,0,1,2,9
nichoda01,1966,1,HOU,NL,100,280,36,69,8,4,10,31,1,1,46,92,6,3,2,2,0
northji01,1966,1,DET,AL,123,419,53,111,24,6,16,58,4,7,33,52,4,4,2,3,17
nossejo01,1966,2,KC1,AL,87,230,13,60,10,3,1,27,4,2,8,21,1,0,2,1,7
olivato01,1966,1,MIN,AL,159,622,99,191,32,7,25,87,13,7,42,72,10,5,2,6,16
oylerra01,1966,1,DET,AL,71,210,16,36,8,3,1,9,0,0,23,62,4,3,1,0,6
paganjo01,1966,1,PIT,NL,109,368,44,97,15,6,4,54,0,2,13,38,3,4,1,5,9
pagliji01,1966,1,PIT,NL,123,374,37,88,20,0,11,49,0,5,50,71,9,4,3,4,5
parkewe01,1966,1,LAN,NL,156,475,67,120,17,5,12,51,7,3,69,83,9,5,12,3,12
pavledo01,1966,1,CIN,NL,83,235,29,69,13,2,12,38,1,0,18,37,3,1,0,2,5
pepitjo01,1966,1,NYA,AL,152,585,85,149,21,4,31,83,4,3,29,58,6,2,0,5,14
perezto01,1966,1,CIN,NL,99,257,25,68,10,4,4,39,1,0,14,44,2,2,2,3,12
petrori01,1966,1,BOS,AL,139,522,58,124,20,1,18,59,1,1,41,99,2,3,2,4,8
phillad01,1966,2,CHN,NL,116,416,68,109,29,1,16,36,32,15,43,135,3,12,2,0,6
pinsova01,1966,1,CIN,NL,156,618,70,178,35,6,16,76,18,10,33,83,6,5,7,6,10
powelbo01,1966,1,BAL,AL,140,491,78,141,18,0,34,109,0,4,67,125,9,1,3,3,8
reichri01,1966,1,CAL,AL,89,319,48,92,5,4,16,44,8,4,27,61,3,13,1,1,6
repozro01,1966,2,KC1,AL,101,319,40,69,10,3,11,34,3,3,44,80,4,2,3,1,6
richabo01,1966,1,NYA,AL,149,610,71,153,21,3,7,42,6,6,25,28,1,1,9,3,17
robinbr01,1966,1,BAL,AL,157,620,91,167,35,2,23,100,2,3,56,36,11,5,1,4,18
robinfl01,1966,1,CHA,AL,127,342,44,81,11,2,5,35,8,2,44,32,4,5,3,3,2
robinfr02,1966,1,BAL,AL,155,576,122,182,34,2,49,122,8,5,87,90,11,10,0,7,24
rodgebu01,1966,1,CAL,AL,133,454,45,107,20,3,7,48,3,4,29,57,8,2,0,6,11
rojasco01,1966,1,PHI,NL,156,626,77,168,18,1,6,55,4,6,35,46,3,4,12,2,12
rolliri01,1966,1,MIN,AL,90,269,30,66,7,1,10,40,0,2,13,34,1,4,3,4,9
romanjo01,1966,1,CHA,AL,122,329,33,76,12,0,15,47,0,0,58,72,7,1,3,4,3
roofph01,1966,1,KC1,AL,127,369,33,77,14,3,7,44,2,5,37,95,6,3,8,2,15
rosebjo01,1966,1,LAN,NL,142,445,47,123,23,2,9,53,3,2,44,51,13,3,4,4,11
rosepe01,1966,1,CIN,NL,156,654,97,205,38,5,16,70,4,9,37,61,3,1,7,1,12
ryanmi02,1966,1,BOS,AL,116,369,27,79,15,3,2,32,1,0,29,68,3,0,1,1,10
salmoch01,1966,1,CLE,AL,126,422,46,108,13,2,7,40,10,1,21,41,2,0,6,3,4
santoro01,1966,1,CHN,NL,155,561,93,175,21,8,30,94,4,5,95,78,7,6,2,8,16
satrito01,1966,1,CAL,AL,103,226,16,54,5,3,0,24,3,3,27,32,2,0,2,0,5
saverbo01,1966,1,WS2,AL,120,406,54,102,10,4,5,24,4,3,27,62,1,2,9,2,7
schaapa01,1966,1,CAL,AL,138,386,59,94,15,7,6,24,6,4,68,56,0,5,0,2,9
scottge02,1966,1,BOS,AL,162,601,73,147,18,7,27,90,4,0,65,152,13,8,2,5,25
shamsar01,1966,1,CIN,NL,96,234,41,54,5,0,21,47,0,2,32,45,1,0,3,2,5
shannmi01,1966,1,SLN,NL,137,459,61,132,20,6,16,64,8,4,37,106,0,0,3,2,11
siebeno01,1966,1,CAL,AL,125,336,29,83,14,1,5,41,0,1,63,61,7,0,0,5,6
skowrbi01,1966,1,CHA,AL,120,337,27,84,15,2,6,29,1,1,26,45,4,3,2,1,11
smithch04,1966,1,SLN,NL,116,391,34,104,13,4,10,43,0,2,22,81,4,0,5,5,8
smithge04,1966,1,BOS,AL,128,403,41,86,19,4,8,37,4,0,37,86,6,3,1,3,9
snyderu01,1966,1,BAL,AL,117,373,66,114,21,5,3,41,2,1,38,37,1,0,8,2,9
stahlla01,1966,1,KC1,AL,119,312,37,78,11,5,5,34,5,3,17,63,3,1,1,2,0
stanlmi01,1966,1,DET,AL,92,235,28,68,15,4,3,19,2,1,17,20,4,0,1,1,4
stargwi01,1966,1,PIT,NL,140,485,84,153,30,0,33,102,2,3,48,109,16,6,5,5,7
staubru01,1966,1,HOU,NL,153,554,60,155,28,3,13,81,2,1,58,61,13,1,7,8,13
swoboro01,1966,1,NYN,NL,112,342,34,76,9,4,8,50,4,2,31,76,4,5,2,1,9
tayloto02,1966,1,PHI,NL,125,434,47,105,14,8,5,40,8,4,31,56,0,1,7,0,14
tillmbo01,1966,1,BOS,AL,78,204,12,47,8,0,3,24,0,0,22,35,3,0,1,2,5
torrejo01,1966,1,ATL,NL,148,546,83,172,20,3,36,101,0,4,60,61,8,2,2,4,18
tovarce01,1966,1,MIN,AL,134,465,57,121,19,5,2,41,16,6,44,50,1,4,7,7,7
treshto01,1966,1,NYA,AL,151,537,76,125,12,4,27,68,5,4,86,89,5,6,1,7,10
ueckebo01,1966,1,PHI,NL,78,207,15,43,6,0,7,30,0,0,22,36,6,0,4,4,8
uhlaete01,1966,1,MIN,AL,105,367,39,83,12,2,2,22,10,2,27,33,1,1,6,2,4
valenfr01,1966,1,WS2,AL,146,508,77,140,29,7,16,59,22,10,51,63,1,10,6,3,12
versazo01,1966,1,MIN,AL,137,543,73,135,20,6,7,36,10,12,40,85,2,7,3,3,11
wagnele01,1966,1,CLE,AL,150,549,70,153,20,0,23,66,5,2,46,69,9,1,0,3,12
wardpe01,1966,1,CHA,AL,84,251,22,55,7,1,3,28,3,1,24,49,0,3,1,5,5
wertdo01,1966,1,DET,AL,150,559,56,150,20,2,11,70,6,3,64,69,3,2,11,6,20
whitebi03,1966,1,PHI,NL,159,577,85,159,23,6,22,103,16,6,68,109,12,3,6,5,6
whitero01,1966,1,NYA,AL,115,316,39,71,13,2,7,20,14,7,37,43,1,1,2,0,4
whitffr01,1966,1,CLE,AL,137,502,59,121,15,2,27,78,1,2,27,76,9,4,0,5,7
willibi01,1966,1,CHN,NL,162,648,100,179,23,5,29,91,6,3,69,61,16,4,0,6,12
willsma01,1966,1,LAN,NL,143,594,60,162,14,2,1,39,38,24,34,60,0,2,13,0,6
woodja01,1966,1,DET,AL,98,230,39,58,9,3,2,27,4,3,28,48,0,1,5,0,7
woodwwo01,1966,1,ATL,NL,144,455,46,120,23,3,0,43,2,2,37,54,9,4,17,3,9
wynnji01,1966,1,HOU,NL,105,418,62,107,21,1,18,62,13,10,41,81,4,1,3,4,7
yastrca01,1966,1,BOS,AL,160,594,81,165,39,2,16,80,8,9,84,60,10,1,0,1,17
aaronha01,1967,1,ATL,NL,155,600,113,184,37,3,39,109,17,6,63,97,19,0,0,6,11
adairje01,1967,2,BOS,AL,89,316,41,92,13,1,3,26,1,4,13,35,0,2,4,2,10
ageeto01,1967,1,CHA,AL,158,529,73,124,26,2,14,52,28,10,44,129,5,8,1,2,14
allenbe01,1967,1,WS2,AL,87,254,13,49,5,1,3,18,1,2,18,43,1,0,4,3,2
allendi01,1967,1,PHI,NL,122,463,89,142,31,10,23,77,20,5,75,117,18,1,1,0,9
allenha02,1967,1,WS2,AL,116,292,34,68,8,4,3,17,3,4,13,53,2,0,0,2,8
alleyge01,1967,1,PIT,NL,152,550,59,158,25,7,6,55,10,5,36,70,5,7,7,4,16
allisbo01,1967,1,MIN,AL,153,496,73,128,21,6,24,75,6,4,74,114,2,2,3,1,5
aloufe01,1967,1,ATL,NL,140,574,76,157,26,3,15,43,6,5,32,50,7,7,1,3,10
alouje01,1967,1,SFN,NL,129,510,55,149,15,4,5,30,1,7,14,39,2,4,6,0,10
alouma01,1967,1,PIT,NL,139,550,87,186,21,7,2,28,16,10,24,42,1,6,3,1,3
alvisma01,1967,1,CLE,AL,161,637,66,163,23,4,21,70,3,10,38,107,1,4,16,2,13
amaroru01,1967,1,NYA,AL,130,417,31,93,12,0,1,17,3,2,43,49,4,1,9,0,13
